,,,,Беларусь,,Брестская,Витебская,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
"СИГАРЕТЫ С ФИЛЬТРОМ  ОТЕЧЕСТВЕННЫЕ  (за 1 пачку,           20 штук)",,,,982.580456,,939.32,847.69,1231.8,,914.96,,1025.0,,883.0,,895.2
"СИГАРЕТЫ БЕЗ ФИЛЬТРА  ОТЕЧЕСТВЕННЫЕ  (за 1 пачку, 20 штук)",,,,548.7873179999999,,547.98,548.61,546.0,,550.0,,550.0,,547.0,,550.0
"СИГАРЕТЫ С ФИЛЬТРОМ ИМПОРТНЫЕ    (за 1 пачку,          20 штук)",,,,3490.301484,,3655.4,3696.98,4598.8,,4103.6,,2779.0,,3441.0,,3579.04
МАЙОНЕЗ,,,,6388.735402,,6631.1,6846.83,6231.8,,6600.72,,6046.0,,6317.0,,6833.32
УКСУС,,,,3156.1388230000002,,3109.76,3187.14,3183.27,,3201.56,,3160.0,,3087.0,,3153.84
ГОРЧИЦА ПИЩЕВАЯ (за 100 г),,,,1063.927136,,970.94,1265.49,969.38,,1088.84,,1077.0,,1051.0,,997.92
СОДА ПИЩЕВАЯ,,,,2483.3374200000003,,2345.76,2083.52,2325.8,,2629.36,,2522.0,,2893.0,,2585.0
ЖЕВАТЕЛЬНАЯ  РЕЗИНКА  (за упаковку  10 штук),,,,1230.9395100000002,,1292.74,1276.21,1149.24,,1233.72,,1220.0,,1206.0,,1276.48
НЕПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,
ТКАНЬ ХЛОПЧАТОБУМАЖНАЯ  ПЛАТЕЛЬНАЯ (за 1 м)  ,,,,3278.4805079999996,,3963.82,3215.18,2823.98,,3464.84,,3026.0,,3115.0,,4038.0
ТКАНЬ ШЕРСТЯНАЯ И ПОЛУШЕРСТЯНАЯ (за 1 м),,,,20888.602911,,21690.76,19124.1,21870.83,,20815.32,,22048.0,,18382.0,,19678.64
ТКАНЬ  ЛЬНЯНАЯ  (за 1 м),,,,7204.281454,,6936.38,6654.69,6949.68,,7051.16,,7241.0,,8623.0,,6958.72
ТКАНЬ ШЕЛКОВАЯ  (за 1 м),,,,11197.149646,,7477.58,8964.1,11403.84,,9222.08,,15089.0,,10238.0,,7187.04
ПРЯЖА ШЕРСТЯНАЯ ИЛИ ПОЛУШЕРСТЯНАЯ (за 100 г),,,,8218.748761,,8553.42,8280.11,6885.39,,5922.76,,9901.0,,5666.0,,8569.2
КУРТКА МУЖСКАЯ  ЗИМНЯЯ,,,,198783.504216,,190056.0,255784.43,182618.0,,191132.08,,211263.0,,156200.0,,173484.4
ПАЛЬТО МУЖСКОЕ ДЕМИСЕЗОННОЕ,,,,285122.469509,,221047.0,269477.07,246035.93,,260096.0,,356667.0,,224050.0,,265689.6
КУРТКА МУЖСКАЯ  ИЗ ПЛАЩЕВОЙ ТКАНИ  ,,,,128285.46952,,130950.7,136092.73,120205.86,,115997.6,,142021.0,,96667.0,,125021.48
КОСТЮМ МУЖСКОЙ,,,,230269.346377,,216826.08,205181.25,192875.45,,214981.88,,268727.0,,211849.0,,223914.08
ДЖИНСЫ МУЖСКИЕ,,,,81513.58947199999,,83620.0,61092.99,73975.2,,81236.8,,88323.0,,83647.0,,87063.76
