,,,,Беларусь,,Брестская,,Витебская,Гомельская,,Гродненская,г. Минск,Минская,,Могилевская
"КОНФЕТЫ ГЛАЗИРОВАННЫЕ ЖИРОВОЙ   ГЛАЗУРЬЮ (типа ""Лимонные"", ""Осенние"")",,,,7379.415783,,7197.4,,7641.38,7698.35,,7047.36,7249.0,7554.0,,7423.6
ШОКОЛАД,,,,24680.869558000002,,24698.82,,22746.87,25076.28,,26548.56,24044.0,26110.0,,25307.6
ХАЛВА,,,,8091.474863,,7684.64,,7582.75,7062.07,,7188.64,9078.0,7685.0,,8308.64
МАРМЕЛАД,,,,6355.784161000001,,6106.38,,6041.23,6334.59,,6293.52,6723.0,6132.0,,6066.96
ЗЕФИР,,,,8018.291376,,8605.86,,7140.88,6836.54,,8122.72,8433.0,7837.0,,8576.88
КАКАО - ПОРОШОК (за 200 г),,,,3631.4111850000004,,3023.32,,3218.33,4603.01,,2840.2,3850.0,2859.0,,4294.84
КАРТОФЕЛЬ,,,,914.7959850000001,,745.64,,884.14,895.81,,704.88,1099.0,878.0,,763.28
ЧИПСЫ  КАРТОФЕЛЬНЫЕ (за 100 г),,,,2580.724722,,2925.26,,2865.49,2213.0,,2725.0,2509.0,2390.0,,2666.32
КАПУСТА  БЕЛОКОЧАННАЯ  СВЕЖАЯ,,,,1006.667308,,832.4,,877.24,1062.6,,940.84,1233.0,801.0,,787.2
ЛУК РЕПЧАТЫЙ,,,,1195.0374900000002,,1250.58,,1316.05,1004.32,,1305.12,1287.0,1345.0,,685.28
СВЕКЛА,,,,941.1654609999999,,893.72,,941.91,895.77,,714.44,1152.0,815.0,,682.72
МОРКОВЬ,,,,1129.8954079999999,,1015.68,,1341.78,1056.48,,966.04,1240.0,1154.0,,858.8
ПОМИДОРЫ СВЕЖИЕ,,,,8229.759336,,7593.74,,7185.19,8524.9,,8382.56,8790.0,7747.0,,8203.68
ОГУРЦЫ СВЕЖИЕ,,,,6039.068676000001,,5821.4,,6374.21,6043.76,,6237.08,6131.0,5893.0,,5555.92
ЧЕСНОК,,,,5859.655736000001,,5886.16,,5460.47,6239.28,,6085.68,6058.0,5836.0,,4989.96
ПЕРЕЦ СЛАДКИЙ,,,,11512.905973,,12536.36,,10793.32,9962.41,,10624.64,12799.0,9673.0,,11625.44
ОВОЩИ ЗАМОРОЖЕННЫЕ,,,,10250.906531,,9793.22,,10623.45,9326.49,,9824.28,10838.0,10518.0,,9609.04
ОВОЩИ КОНСЕРВИРОВАННЫЕ,,,,4897.3401,,3494.14,,4226.82,4524.06,,3405.72,5694.0,5439.0,,5672.44
СОУС ТОМАТНЫЙ,,,,5061.467947,,5032.8,,4953.51,4763.15,,4875.36,4928.0,5938.0,,5276.88
ЯБЛОКИ,,,,3611.9010710000002,,2932.1,,4003.92,3319.57,,3651.52,3880.0,3506.0,,3418.32
"ЦИТРУСОВЫЕ ПЛОДЫ (апельсины, лимоны, мандарины)",,,,4928.138196,,4907.38,,4413.31,4891.46,,5364.08,4958.0,5394.0,,4607.88
ВИНОГРАД,,,,11168.957500000002,,10533.92,,11486.03,11214.04,,11522.08,10895.0,12522.0,,10604.56
БАНАНЫ,,,,5029.305878,,5178.0,,4809.59,5077.66,,4871.8,4997.0,5264.0,,5067.72
СУХОФРУКТЫ,,,,11813.642592,,9864.46,,11176.2,10322.26,,11688.64,12652.0,12496.0,,12986.56
ОРЕХИ,,,,16134.944080999998,,11155.36,,12601.99,15889.61,,10259.32,20356.0,14823.0,,18117.04
ФРУКТЫ КОНСЕРВИРОВАННЫЕ,,,,7465.784587,,7127.68,,8157.8,7629.63,,8333.76,6973.0,7853.0,,7291.0
КОНСЕРВЫ  ФРУКТОВЫЕ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО  ПИТАНИЯ,,,,7478.588161000001,,6611.66,,7139.15,6474.35,,6490.84,8444.0,7596.0,,7550.36
"СОК, НЕКТАР ФРУКТОВЫЙ,  ЯГОДНЫЙ",,,,3539.3109710000003,,3206.24,,3350.83,3283.15,,3260.48,4033.0,3180.0,,3397.36
НАПИТКИ БЕЗАЛКОГОЛЬНЫЕ ,,,,1512.5592860000002,,1369.18,,1261.03,1358.08,,1810.36,1713.0,1499.0,,1222.16
ВОДА МИНЕРАЛЬНАЯ ,,,,882.2473889999999,,891.78,,988.04,866.35,,934.88,856.0,819.0,,878.68
