,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,,Могилевская
ШОКОЛАД,,,,28862.358638000005,,27769.54,,28110.72,,28092.98,,28182.35,,30780.0,28440.0,,28468.76
ХАЛВА,,,,8204.366976000001,,7784.32,,7614.12,,7375.46,,7478.93,,9571.0,7972.0,,8056.12
МАРМЕЛАД,,,,7007.528964000001,,6566.86,,6992.24,,7435.86,,6795.58,,6831.0,7057.0,,7616.16
ЗЕФИР,,,,8696.789816,,10396.9,,7447.2,,7711.06,,8663.56,,9109.0,8400.0,,8712.56
КАКАО - ПОРОШОК (за 200 г),,,,3793.9547600000005,,3239.18,,3569.92,,4521.06,,3263.76,,4479.0,3096.0,,3564.97
КАРТОФЕЛЬ,,,,1235.470602,,1128.4,,1120.8,,1153.76,,1103.35,,1503.0,1193.0,,1114.3
ЧИПСЫ  КАРТОФЕЛЬНЫЕ (за 100 г),,,,2709.9109780000003,,2968.18,,2894.12,,2362.14,,2889.53,,2625.0,2540.0,,2920.26
КАПУСТА  БЕЛОКОЧАННАЯ  СВЕЖАЯ,,,,1530.7654840000002,,1478.82,,1252.72,,1588.94,,1267.72,,1780.0,1415.0,,1632.59
ЛУК РЕПЧАТЫЙ,,,,2308.817938,,2236.1,,1971.0,,2013.38,,2180.29,,3068.0,1740.0,,2175.77
СВЕКЛА,,,,1121.8955540000002,,1150.36,,1042.8,,1095.88,,962.75,,1385.0,945.0,,949.4
МОРКОВЬ,,,,1515.4243940000003,,1416.28,,1512.76,,1497.24,,1308.07,,1776.0,1468.0,,1271.42
ПОМИДОРЫ СВЕЖИЕ,,,,7773.408192000001,,8234.32,,7122.84,,7563.64,,7816.14,,8160.0,7393.0,,7733.22
ОГУРЦЫ СВЕЖИЕ,,,,7349.743398000001,,7421.94,,6791.56,,7057.68,,7216.0,,8072.0,7118.0,,6892.33
ЧЕСНОК,,,,9999.444702,,9318.38,,9919.56,,9967.3,,9547.61,,10555.0,9942.0,,10098.21
ПЕРЕЦ СЛАДКИЙ,,,,10710.810966000003,,10143.6,,11049.84,,9266.1,,12615.44,,9967.0,10503.0,,13257.86
ОВОЩИ ЗАМОРОЖЕННЫЕ,,,,9205.455326000001,,9130.84,,8881.72,,9093.28,,8425.53,,10083.0,9190.0,,8362.37
ОВОЩИ КОНСЕРВИРОВАННЫЕ,,,,4956.831652000001,,3890.46,,4829.08,,4597.92,,3942.85,,5177.0,6080.0,,5759.99
СОУС ТОМАТНЫЙ,,,,5582.505100000001,,5540.22,,5409.0,,5418.7,,5373.22,,5211.0,6465.0,,5948.3
ЯБЛОКИ,,,,3523.369620000001,,3075.84,,4085.76,,3308.52,,3416.78,,3544.0,3595.0,,3674.42
"ЦИТРУСОВЫЕ ПЛОДЫ (апельсины, лимоны, мандарины)",,,,5361.371122000001,,5219.6,,4979.84,,5268.28,,6076.99,,5121.0,5807.0,,5347.21
ВИНОГРАД,,,,12470.173906000002,,12162.36,,13111.68,,12034.06,,13545.9,,11144.0,14121.0,,12630.02
