,,,,Беларусь,,Брестская,,Витебская,Гомельская,,Гродненская,,г. Минск,Минская,,Могилевская
ШАПКА МЕХОВАЯ МУЖСКАЯ,,,,559109.1364397549,,,,923010.0,236180.0,,189155.24,,784213.0,,,
"СВИТЕР, ДЖЕМПЕР  ИЗ ШЕРСТЯНОЙ ИЛИ ПОЛУШЕРСТЯНОЙ ПРЯЖИ МУЖСКОЙ",,,,87396.789226,,76770.8,,84065.66,71611.86,,77206.65,,114607.0,98639.0,,75200.04
"СВИТЕР, ДЖЕМПЕР ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ МУЖСКОЙ",,,,57542.750998,,63025.76,,58492.39,53668.5,,41917.15,,62157.0,73558.0,,41293.92
МАЙКА МУЖСКАЯ,,,,12108.328678,,9892.44,,11974.08,12244.46,,11886.8,,13395.0,12542.0,,12409.44
ТРУСЫ МУЖСКИЕ,,,,12514.399494,,9602.26,,12601.63,9843.68,,11414.48,,15920.0,14192.0,,12838.48
ФУТБОЛКА ИЗ ХЛОПЧАТОБУМАЖНОГО ИЛИ СМЕСОВОГО ТРИКОТАЖНОГО ПОЛОТНА МУЖСКАЯ,,,,34861.420696,,34175.16,,26077.24,30599.12,,21631.4,,56282.0,29693.0,,34925.84
НОСКИ ИЗ ХЛОПЧАТОБУМАЖНОЙ И СМЕСОВОЙ ПРЯЖИ МУЖСКИЕ ,,,,5416.891194,,4818.82,,3986.83,4403.84,,5042.19,,8158.0,5103.0,,5296.08
НОСКИ ИЗ ПОЛУШЕРСТЯНОЙ ПРЯЖИ МУЖСКИЕ ,,,,5276.649702000001,,5918.94,,5550.51,4351.8,,4991.45,,5312.0,5460.0,,5345.68
ДУБЛЕНКА МУЖСКАЯ,,,,1531330.0469833782,,1185000.0,,1976348.0,,,855679.77,,2040000.0,1500000.0,,1322000.0
ШЛЯПА ИЛИ КЕПКА  МУЖСКАЯ,,,,34020.671687999995,,33108.76,,35396.27,32993.6,,33478.09,,38255.0,29238.0,,34627.12
ПИДЖАК  ИЗ ПОЛУШЕРСТЯНОЙ ТКАНИ МУЖСКОЙ ,,,,186606.62069799998,,159336.26,,175369.64,179202.12,,151274.5,,265467.0,144761.0,,200428.0
ПАЛЬТО ЗИМНЕЕ ЖЕНСКОЕ,,,,680350.6987999527,,586260.0,,736248.67,,,575329.14,,722904.0,695820.0,,749192.84
ДУБЛЕНКА ЖЕНСКАЯ,,,,2052145.269144,,1515000.0,,2056969.0,2040000.0,,1060311.23,,2860080.0,2350000.0,,1977500.0
ПАЛЬТО ДЕМИСЕЗОННОЕ ЖЕНСКОЕ,,,,454765.05244999996,,432654.52,,555350.0,504075.18,,375503.23,,490600.0,396512.0,,398101.0
КУРТКА ЖЕНСКАЯ,,,,221476.75191800002,,196607.78,,202751.89,242150.6,,188640.29,,254009.0,242550.0,,197283.96
