,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
"ОБЕД В СТОЛОВОЙ (для 1 человека, из 4-х блюд)",,,,3866.288340000001,,4154.56,,4577.28,,3286.56,,3511.04,,3730.0,,3896.0,,4127.85
"ОБЕД В РЕСТОРАНЕ    (заказной, для 1 человека,                  из   4-х блюд) ",,,,12829.532748000001,,14820.96,,15944.8,,17864.66,,9382.43,,9828.0,,7784.0,,18712.91
"КОФЕ  В   ОРГАНИЗАЦИЯХ   БЫСТРОГО  ОБСЛУЖИВАНИЯ  (за 0,2л)",,,,3835.6977520000005,,1844.36,,2560.72,,2354.9,,1352.25,,8407.0,,2413.0,,2541.83
"СОК   В  ОРГАНИЗАЦИЯХ   БЫСТРОГО  ОБСЛУЖИВАНИЯ   (за 0,2л)",,,,1152.9167400000001,,895.36,,996.84,,1149.88,,889.06,,1673.0,,874.0,,988.54
"СИГАРЕТЫ  С  ФИЛЬТРОМ   ОТЕЧЕСТВЕННЫЕ                      (за 1 пачку, 20 штук)",,,,1148.8841940000002,,984.92,,913.52,,1388.12,,1169.67,,1174.0,,1193.0,,1158.46
"СИГАРЕТЫ  БЕЗ  ФИЛЬТРА   ОТЕЧЕСТВЕННЫЕ                       (за 1 пачку, 20 штук)",,,,692.1132460000001,,685.46,,694.88,,678.68,,700.0,,700.0,,683.0,,700.0
"СИГАРЕТЫ   С   ФИЛЬТРОМ    ИМПОРТНЫЕ                                 (за 1 пачку, 20 штук)",,,,3975.5770220000004,,3889.84,,3895.68,,4547.16,,4009.57,,3238.0,,4396.0,,4684.56
МАЙОНЕЗ,,,,7145.649618,,6965.58,,7577.36,,6892.54,,7365.91,,6820.0,,7255.0,,7673.3
УКСУС ,,,,3345.9018480000004,,3196.16,,3396.08,,3338.28,,3404.08,,3415.0,,3256.0,,3379.13
ГОРЧИЦА ПИЩЕВАЯ (за 100 г),,,,1111.38389,,1012.7,,1247.76,,1043.48,,1110.52,,1156.0,,1126.0,,1031.63
СОДА ПИЩЕВАЯ,,,,3075.2393400000005,,2947.96,,3156.52,,2927.12,,3195.34,,2755.0,,3733.0,,3087.71
ЖЕВАТЕЛЬНАЯ  РЕЗИНКА  (за упаковку 10 штук),,,,1308.252408,,1386.58,,1330.68,,1235.58,,1297.52,,1247.0,,1385.0,,1338.61
НЕПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ТКАНЬ ХЛОПЧАТОБУМАЖНАЯ  ПЛАТЕЛЬНАЯ (за 1 м)  ,,,,3775.0426140000004,,4069.52,,4097.4,,3387.38,,3851.66,,3489.0,,3609.0,,4457.5
ТКАНЬ ШЕРСТЯНАЯ И ПОЛУШЕРСТЯНАЯ (за 1 м),,,,22462.476032000002,,23230.88,,21206.24,,22944.42,,20772.03,,24559.0,,20062.0,,22095.26
ТКАНЬ  ЛЬНЯНАЯ  (за 1 м),,,,8490.203084,,7803.2,,7606.64,,7752.52,,7268.34,,9910.0,,8797.0,,8480.98
ТКАНЬ ШЕЛКОВАЯ  (за 1 м),,,,11546.287942,,8002.76,,9189.84,,12410.74,,8782.32,,15927.0,,12226.0,,8036.78
ПРЯЖА ШЕРСТЯНАЯ ИЛИ ПОЛУШЕРСТЯНАЯ (за 100 г),,,,8870.793840000002,,9362.02,,8254.76,,8083.58,,6687.38,,10070.0,,8656.0,,9453.89
КУРТКА МУЖСКАЯ  ЗИМНЯЯ,,,,234173.01763200003,,243680.66,,227698.4,,208119.0,,204505.07,,218255.0,,220000.0,,357500.0
ПАЛЬТО МУЖСКОЕ ДЕМИСЕЗОННОЕ,,,,314290.65442800004,,289043.56,,311569.12,,280166.16,,277872.34,,379100.0,,310546.0,,269023.91
КУРТКА МУЖСКАЯ  ИЗ ПЛАЩЕВОЙ ТКАНИ  ,,,,140923.37082400004,,135861.6,,136995.68,,139531.52,,132044.72,,164884.0,,104375.0,,154002.07
КОСТЮМ МУЖСКОЙ,,,,250657.241876,,226665.94,,240567.36,,220245.12,,234481.79,,296725.0,,236007.0,,251492.69
ДЖИНСЫ МУЖСКИЕ,,,,91666.58167800002,,87026.24,,73646.08,,92289.42,,94211.16,,97099.0,,98460.0,,90937.74
