,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ИРИС,,,,60652.132908,,54960.16,,60143.17999999999,,56499.450000000004,,60148.26,,66928,,59109,,60220.600000000006
" КОНФЕТЫ ""КАРАМЕЛЬ""",,,,46193.544156,,44001.68,,43745.1,,43557.84,,45552.46000000001,,47073,,49221,,49192.15
КОНФЕТЫ ГЛАЗИРОВАННЫЕ ШОКОЛАДНОЙ ГЛАЗУРЬЮ,,,,100819.495116,,102058.16,,102546.16,,98879.29000000001,,91840.8,,99501,,109288,,100522.70000000001
"КОНФЕТЫ ГЛАЗИРОВАННЫЕ КОНДИТЕРСКОЙ   ГЛАЗУРЬЮ (типа ""Лимонные"", ""Осенние"")",,,,64859.470391999996,,65233.64,,61197.159999999996,,64596,,61527.740000000005,,66972,,63734,,68690.8
ШОКОЛАД,,,,161272.88086799998,,163865.68,,165200.61,,156686.1,,156620.32,,166312,,157343,,157150
ХАЛВА,,,,55893.74630399999,,54815.2,,56679.89,,51454.119999999995,,52721.42,,57053,,62518,,52892.85
МАРМЕЛАД,,,,55453.578088,,52708.4,,50960.799999999996,,49820.35,,55415.68000000001,,62090,,50577,,61345.6
ЗЕФИР,,,,69239.764172,,61862.52,,66957.94,,63636.05,,70814.78,,76693,,62713,,76805.9
КАКАО - ПОРОШОК (за 200 г),,,,25761.404111999997,,25625.92,,27053.879999999997,,28909.22,,27252.260000000002,,23839,,25620,,23905.5
КАРТОФЕЛЬ,,,,4309.962848,,3547.52,,4575.8099999999995,,4261.79,,3419.6000000000004,,5089,,4193,,4105.7
ЧИПСЫ  КАРТОФЕЛЬНЫЕ (за 100 г),,,,13998.111920000001,,12343.96,,14853.66,,11758.41,,14397.720000000001,,15601,,14410,,12807.100000000002
КАПУСТА  БЕЛОКОЧАННАЯ  СВЕЖАЯ,,,,5044.260084,,4653.639999999999,,5119.69,,5076.08,,4593.4800000000005,,5497,,4928,,4873.1
ЛУК РЕПЧАТЫЙ,,,,7180.2249759999995,,6626.92,,7969.09,,6799.71,,6870.460000000001,,7473,,6987,,7300
СВЕКЛА,,,,5272.949148,,5261.639999999999,,5210.17,,5570.6,,4609.3,,5777,,4936,,4860.05
МОРКОВЬ,,,,6239.486024,,5650.799999999999,,6313.15,,6031.06,,5663.68,,7103,,5860,,6080.6
ПОМИДОРЫ СВЕЖИЕ,,,,25458.949072,,17864.08,,28913.09,,27139.38,,23905.980000000003,,31751,,20880,,20627.45
